date,host_gender,intro_female_mentions,intro_male_mentions,intro_female_stars,intro_male_stars,intro_both_stars,number_of_guests,g1_gender,g1_location,g1_topic,g1_time,g1_role,g1_questions,g1_interruptions,g2_gender,g2_location,g2_topic,g2_time,g2_role,g2_questions,g2_interruptions,g3_gender,g3_location,g3_topic,g3_time,g3_role,g3_questions,g3_interruptions,g4_gender,g4_location,g4_topic,g4_time,g4_role,g4_questions,g4_interruptions,g5_gender,g5_location,g5_topic,g5_time,g5_role,g5_questions,g5_interruptions,g6_gender,g6_location,g6_topic,g6_time,g6_role,g6_questions,g6_interruptions,number_of_reports,r1_author,r1_guests,r1_guests_women,r1_randos,r1_randos_women,r2_author,r2_guests,r2_guests_women,r2_randos,r2_randos_women,r3_author,r3_guests,r3_guests_women,r3_randos,r3_randos_women,r4_author,r4_guests,r4_guests_women,r4_randos,r4_randos_women,r5_author,r5_guests,r5_guests_women,r5_randos,r5_randos_women,r6_author,r6_guests,r6_guests_women,r6_randos,r6_randos_women,r7_author,r7_guests,r7_guests_women,r7_randos,r7_randos_women,r8_author,r8_guests,r8_guests_women,r8_randos,r8_randos_women,number_of_reports_with_mostly_one_person,r1_main_gender,r1_topic,r2_main_gender,r2_topic,r3_main_gender,r3_topic,r4_main_gender,r4_topic,r5_main_gender,r5_topic,r6_main_gender,r6_topic,r7_main_gender,r7_topic,r8_main_gender,r8_topic,number_of_corresponder_reports,cr1_gender,cr1_number_of_people,cr1_number_of_women,cr2_gender,cr2_number_of_people,cr2_number_of_women,cr3_gender,cr3_number_of_people,cr3_number_of_women,cr4_gender,cr4_number_of_people,cr4_number_of_women,cr5_gender,cr5_number_of_people,cr5_number_of_women
3/12/2020,ženska,2.00,6.00,0.00,2.00,1.00,2.00,moški,studio,zdravje,5:30,strokovnjak,6,1,moški,studio,zdravje,10:25,nosilec funkcije,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,moški,0,0,3,1,ženska,0,0,6,3,ženska,0,0,6,1,ženska,0,0,2,2,,,,,,,,,,,,,,,,,,,,,1,,zdravje,,zdravje,,politika,ženska,politika,,,,,,,,,1,moški,4,1,,,,,,,,,,,,
3/13/2020,ženska,1.00,3.00,0.00,0.00,1.00,3.00,ženska,studio,zdravje,3:50,strokovnjak,4,2,moški,studio,zdravje,4:18,strokovnjak,7,2,moški,studio,zdravje,8:07,strokovnjak,7,4,,,,,,,,,,,,,,,,,,,,,,6,ženska,0,0,1,0,ženska,0,0,11,2,ženska,0,0,5,3,moški,4,1,0,0,ženska,1,0,1,1,moški,0,0,4,2,,,,,,,,,,,1,moški,politika,,politika,,zdravje,,ekonomija,,ekonomija,,zdravje,,,,,2,ženska,3,1,moški,8,1,,,,,,,,,
3/16/2020,moški,2.00,2.00,1.00,1.00,1.00,4.00,moški,studio,politika,4:38,nosilec funkcije,6,1,moški,studio,ekonomija,6:15,nosilec funkcije,5,1,moški,internet,ekonomija,2:10,drugo,2,0,ženska,internet,zdravje,2:44,strokovnjak,2,0,,,,,,,,,,,,,,,3,ženska,7,2,1,1,moški,1,1,2,0,moški,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,ekonomija,,ekonomija,,politika,,,,,,,,,,,1,ženska,1,1,,,,,,,,,,,,
3/17/2020,moški,2.00,3.00,1.00,2.00,1.00,3.00,moški,studio,zdravje,5:30,nosilec funkcije,4,1,ženska,studio,zdravje,9:20,strokovnjak,10,1,moški,internet,kultura,3:32,drugo,5,0,,,,,,,,,,,,,,,,,,,,,,5,ženska,0,0,8,0,ženska,1,0,0,0,ženska,4,1,4,2,ženska,0,0,3,0,ženska,2,1,1,0,,,,,,,,,,,,,,,,1,,politika,moški,ekonomija,,zdravje,,ekonomija,,politika,,,,,,,,,,,,,,,,,,,,,,
3/18/2020,ženska,0.00,4.00,0.00,2.00,0.00,6.00,moški,internet,ekonomija,2:16,drugo,3,0,moški,studio,politika,6:08,nosilec funkcije,4,3,moški,studio,politika,8:00,nosilec funkcije,6,3,ženska,studio,ekonomija,4:00,strokovnjak,3,2,moški,internet,ekonomija,0.1416666667,strokovnjak,4,1,moški,internet,ekonomija,0.05694444444,strokovnjak,2,0,4,ženska,0,0,11,3,ženska,0,0,1,0,ženska,1,1,3,0,ženska,2,0,1,0,,,,,,,,,,,,,,,,,,,,,0,,ekonomija,,ekonomija,,ekonomija,,ekonomija,,,,,,,,,,,,,,,,,,,,,,,,
3/19/2020,ženska,0.00,2.00,0.00,2.00,0.00,2.00,moški,studio,ekonomija,8:25,nosilec funkcije,8,4,moški,studio,zdravje,4:13,strokovnjak,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ženska,3,0,1,0,ženska,0,0,14,6,moški,0,0,6,2,ženska,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,zdravje,,politika,,zdravje,,zdravje,,,,,,,,,2,ženska,1,1,moški,5,0,,,,,,,,,
3/20/2020,ženska,0.00,1.00,0.00,0.00,0.00,3.00,moški,internet,drugo,4:18,analitik/komentator,4,0,moški,studio,zdravje,7:02,strokovnjak,7,1,ženska,internet,zdravje,6:22,strokovnjak,4,0,,,,,,,,,,,,,,,,,,,,,,3,ženska,0,0,2,0,ženska,2,1,0,0,ženska,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,politika,,zdravje,,šport,,,,,,,,,,,1,moški,1,0,,,,,,,,,,,,
3/23/2020,ženska,1.00,1.00,1.00,0.00,0.00,1.00,ženska,internet,kultura,3:38,drugo,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,ženska,5,2,1,0,ženska,1,0,0,0,ženska,0,0,6,2,ženska,1,0,4,2,ženska,1,0,7,2,,,,,,,,,,,,,,,,1,,zdravje,,zdravje,,zdravje,moški,okolje,,kultura,,,,,,,1,moški,6,0,,,,,,,,,,,,
3/24/2020,ženska,2.00,3.00,0.00,0.00,0.00,6.00,moški,internet,ekonomija,5:22,strokovnjak,1,0,ženska,internet,ekonomija,4:50,nosilec funkcije,3,0,ženska,studio,ekonomija,3:50,nosilec funkcije,4,0,moški,internet,ekonomija,2:50,nosilec funkcije,2,0,moški,internet,ekonomija,0.1840277778,nosilec funkcije,2,0,,,,,,,,5,ženska,6,1,2,0,ženska,4,2,5,2,ženska,0,0,3,0,moški,1,0,0,0,ženska,5,2,0,0,,,,,,,,,,,,,,,,1,,ekonomija,,ekonomija,,ekonomija,moški,zdravje,,zdravje,,,,,,,,,,,,,,,,,,,,,,
3/25/2020,ženska,2.00,2.00,0.00,1.00,0.00,2.00,ženska,internet,zdravje,4:27,drugo,4,0,moški,studio,politika,21:51,nosilec funkcije,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ženska,2,1,4,0,ženska,1,0,4,1,moški,2,0,0,0,moški,6,2,0,0,,,,,,,,,,,,,,,,,,,,,0,,zdravje,,politika,,okolje,,kultura,,,,,,,,,,,,,,,,,,,,,,,,
